Facility_ID,Overall Rating,Recommendation Score,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness
160101,91,91,91,92,79,76,86,82,89,87
160104,86,86,90,89,80,74,84,79,81,85
160110,90,90,92,90,83,75,87,82,84,84
160112,92,92,94,94,90,83,90,84,90,87
160117,89,88,92,91,85,76,90,82,81,83
160124,92,93,93,94,87,78,88,84,89,86
160146,86,86,89,89,77,73,87,81,81,76
160147,91,91,93,92,88,82,90,82,87,86
160153,82,79,87,86,77,67,83,77,82,79
161301,96,96,96,96,95,87,93,88,93,95
161302,92,94,94,93,88,81,91,86,90,88
161306,95,98,98,95,93,82,94,91,94,91
161317,94,95,96,96,93,83,90,85,94,88
161339,91,91,92,92,86,80,87,82,90,88
161343,93,93,94,92,88,82,91,87,92,88
161346,94,94,96,97,91,77,90,85,87,91
161353,92,94,94,96,87,85,84,86,95,85
161360,95,97,94,95,89,84,92,89,92,86
161361,95,93,95,97,92,81,91,86,96,89
161364,90,88,91,88,86,76,91,82,92,87
161365,91,88,94,94,89,79,88,83,92,88
161367,92,93,93,94,84,79,87,82,85,83
161368,94,91,92,95,89,79,95,85,93,92
161369,91,88,94,95,90,81,87,84,90,87
161371,93,94,95,95,89,84,93,85,92,86
161375,92,91,92,93,85,81,91,85,93,87
161376,92,89,92,90,88,77,88,83,92,88
161379,92,92,94,95,86,83,85,85,91,87
170006,88,86,92,91,87,78,88,82,92,85
170009,88,84,92,92,90,75,82,79,89,87
170012,87,86,90,90,84,74,86,80,85,82
170013,89,89,91,90,83,77,86,81,85,85
170014,86,82,91,90,83,72,87,80,87,82
170016,86,88,87,89,79,73,86,80,88,80
170020,86,82,91,89,84,73,83,80,81,77
170023,84,81,88,89,81,72,82,79,90,87
170027,94,94,95,96,93,86,92,86,91,90
17002F,91,89,93,93,90,82,90,82,86,91
170040,93,94,93,93,85,79,90,84,85,85
170049,89,88,92,91,86,77,86,82,92,85
17005F,91,92,95,92,92,84,88,85,92,89
170068,82,78,86,89,79,72,82,76,88,80
170074,91,90,93,94,92,82,87,83,89,87
170086,89,90,91,91,86,75,89,81,87,86
17008F,92,91,93,92,89,85,89,85,91,88
